date,symbol,Open,High,Low,Close,Volume
2024-06-03,GRINDWELL.NS,2631.3847,2631.3847,2497.8168,2511.5149,104465
2024-06-03,GSFC.NS,206.4277,207.3576,201.8714,203.6847,2263433
2024-06-03,GTLINFRA.NS,1.55,1.55,1.55,1.55,14925487
2024-06-03,GUJALKALI.NS,713.6737,739.142,709.1957,736.8098,94491
2024-06-03,GULFOILLUB.NS,863.9049,871.1494,839.2284,851.8157,164236
2024-06-03,HATHWAY.NS,21.25,21.3,20.7,20.95,5989140
2024-06-03,HATSUN.NS,1031.0637,1031.0637,978.2388,986.7495,36202
2024-06-03,HCC.NS,39.65,39.7,38.0,38.6,29102632
2024-06-03,HCLTECH.NS,1236.9937,1240.8405,1199.7158,1203.929,5384064
2024-06-03,HDFCBANK.NS,776.0027,776.0027,752.2227,762.9965,72637256
2024-06-03,HEG.NS,459.7505,460.9274,443.2552,446.9917,1382065
2024-06-03,HEIDELBERG.NS,183.2924,184.5441,179.8947,183.3371,400798
2024-06-03,HERITGFOOD.NS,427.5356,427.5356,413.1862,419.2798,1971296
2024-06-03,HEROMOTOCO.NS,4869.1361,4900.4904,4753.4942,4759.0273,962485
2024-06-03,HFCL.NS,107.7112,107.7112,102.3306,103.1776,20733216
2024-06-03,HGS.NS,822.6482,826.0759,791.2113,795.3245,39775
2024-06-03,HIKAL.NS,288.3508,289.6885,280.9686,282.2568,120237
2024-06-03,HIMATSEIDE.NS,130.7846,130.7846,124.3323,125.9702,317281
2024-06-03,HINDALCO.NS,702.0864,702.3318,680.2873,683.3804,7081956
2024-06-03,HINDCOPPER.NS,369.0184,371.9784,353.8728,365.565,13759533
2024-06-03,HINDOILEXP.NS,197.0,198.15,189.8,192.6,1235861
2024-06-03,HINDPETRO.NS,341.6396,353.4039,338.7282,346.0363,29299819
2024-06-03,HINDUNILVR.NS,2265.612,2271.7493,2230.6906,2241.7283,1207445
2024-06-03,HONAUT.NS,53479.9536,53479.9536,51679.4221,52838.75,10138
2024-06-03,HSCL.NS,347.5212,347.5212,335.9189,339.554,554189
2024-06-03,ICICIBANK.NS,1141.5079,1144.4349,1108.6287,1131.7515,25699977
2024-06-03,ICIL.NS,334.7712,352.2952,330.1571,335.1639,420562
2024-06-03,IDBI.NS,89.5591,90.2332,85.6108,88.259,36774087
2024-06-03,IDEA.NS,16.4,16.4,15.65,16.0,260907611
2024-06-03,IFBIND.NS,1205.0,1212.0,1152.0,1162.9,106259
